Verslóritgerðir	Verslóritgerð	nvfn-s
þá	þá	aa
fær	fá	sfg3en
maður	maður	nken
það	það	fpheo
svo	svo	aa
margfalt	margfalt	aa
tilbaka	tilbaka	aa
.	.	pl

Eitt	einn	tfhen
lítið	lítill	lhensf
bros	bros	nhen
og	og	c
þolinmæði	þolinmæði	nven
geta	geta	sfg3fn
skipt	skipta	sþghen
sköpum	skap	nhfþ
í	í	af
samskiptum	samskipti	nhfþ
okkar	ég	fp1fe
við	við	af
annað	annar	foheo
fólk	fólk	nheo
og	og	c
lífsglatt	lífsglaður	lhensf
fólk	fólk	nhen
dregur	draga	sfg3en
það	sá	faheo
besta	góður	lheove
fram	fram	aa
í	í	af
öðrum	annar	fokfþ
.	.	pl

Það	það	fphen
vill	vilja	sfg3en
enginn	enginn	foken
umgangast	umgangast	snm
mannesku	manneskja	x
sem	sem	ct
er	vera	sfg3en
alltaf	alltaf	aa
neikvæð	neikvæður	lvensf
og	og	c
fúl	fúll	lvensf
því	það	fpheþ
hún	hún	fpven
dregur	draga	sfg3en
fólk	fólk	nheo
einfaldlega	einfaldlega	aa
niður	niður	aa
með	með	af
sér	sig	fpveþ
.	.	pl

Maður	maður	nken
skapar	skapa	sfg3en
sjálfur	sjálfur	fbken
aðstæður	aðstæður	nvfo
sínar	sinn	fevfo
í	í	af
lífinu	líf	nheþg
að	að	af
mörgu	margur	lheþsf
leyti	leyti	nheþ
.	.	pl

Það	það	fphen
stoðar	stoða	sfg3en
lítið	lítið	aa
að	að	cn
verða	verða	sng
svartsýnn	svartsýnn	lkensf
og	og	c
gefast	gefa	snm
upp	upp	aa
þegar	þegar	c
maður	maður	nken
gengur	ganga	sfg3en
í	í	aa
gegnum	gegnum	af
erfiðleika	erfiðleiki	nkfo
.	.	pl

Erfiðleikarnir	erfiðleiki	nkfng
þroska	þroska	sfg3fn
mann	maður	nkeo
og	og	c
oftar	oft	aam
en	en	c
ekki	ekki	aa
metum	meta	sfg1fn
við	ég	fp1fn
hlutina	hlutur	nkfog
meira	meira	aam
eftir	eftir	af
að	að	cn
hafa	hafa	sng
gengið	ganga	sþghen
í	í	aa
gegnum	gegnum	af
mótlæti	mótlæti	nheo
.	.	pl

Lífið	líf	nheng
heldur	halda	sfg3en
áfram	áfram	aa
og	og	c
okkur	ég	fp1fþ
bjóðast	bjóða	sfm3fn
alltaf	alltaf	aa
nýir	nýr	lkfnsf
möguleikar	möguleiki	nkfn
.	.	pl

Það	það	fphen
er	vera	sfg3en
mun	munur	nkeþ
oftar	oft	aam
þannig	þannig	aa
að	að	c
við	ég	fp1fn
nýtum	nýta	sfg1fn
ekki	ekki	aa
möguleikana	möguleiki	nkfog
sem	sem	ct
við	ég	fp1fn
höfum	hafa	sfg1fn
frekar	frekar	aam
en	en	c
að	að	af
okkur	ég	fp1fþ
bjóðist	bjóða	svm3fn
þeir	hann	fpkfn
ekki	ekki	aa
.	.	pl

Þegar	þegar	c
maður	maður	nken
er	vera	sfg3en
lífsglaður	lífsglaður	lkensf
og	og	c
ánægður	ánægður	lkensf
yfir	yfir	af
lífinu	líf	nheþg
þá	þá	aa
er	vera	sfg3en
auðveldara	auðveldur	lhenvm
að	að	cn
vera	vera	sng
sáttur	sáttur	lkensf
við	við	af
sjálfan	sjálfur	fbkeo
sig	sig	fpkeo
.	.	pl

Í	í	af
stað	staður	nkeo
þess	það	fphee
að	að	cn
bæla	bæla	sng
alla	allur	fokfo
hæfileikana	hæfileiki	nkfog
niður	niður	aa
sem	sem	c
maður	maður	nken
býr	búa	sfg3en
yfir	yfir	aa
þá	þá	aa
lætur	láta	sfg3en
maður	maður	nken
á	á	af
þá	hann	fpkfo
reyna	reyna	sng
og	og	c
tekur	taka	sfg3en
áhættu	áhætta	nveo
í	í	af
því	sá	faheþ
sem	sem	ct
maður	maður	nken
gerir	gera	sfg3en
.	.	pl

Stundum	stundum	aa
virkar	virka	sfg3en
það	það	fphen
og	og	c
stundum	stundum	aa
ekki	ekki	aa
en	en	c
ef	ef	c
maður	maður	nken
lætur	láta	sfg3en
ekki	ekki	aa
á	á	af
þá	hann	fpkfo
reyna	reyna	sng
þá	þá	aa
kemst	koma	sfm3en
maður	maður	nken
aldrei	aldrei	aa
að	að	af
því	það	fpheþ
hvers	hver	fshee
megnugur	megnugur	lkensf
maður	maður	nken
er	vera	sfg3en
.	.	pl

Fólk	fólk	nhen
á	eiga	sfg3en
að	að	cn
líta	líta	sng
jákvæðum	jákvæður	lhfþsf
augum	auga	nhfþ
á	á	af
lífið	líf	nheog
og	og	c
virða	virða	sng
það	það	fpheo
.	.	pl

Lífið	líf	nheng
er	vera	sfg3en
fullt	fullur	lhensf
af	af	af
tækifærum	tækifæri	nhfþ
og	og	c
það	það	fphen
er	vera	sfg3en
miklu	mikill	lheþsf
auðveldara	auðveldur	lhenvm
að	að	cn
sjá	sjá	sng
og	og	c
nýta	nýta	sng
þau	það	fphfo
ef	ef	c
maður	maður	nken
er	vera	sfg3en
ánægður	ánægður	lkensf
og	og	c
lífsglaður	lífsglaður	lkensf
.	.	pl

Ég	ég	fp1en
tel	telja	sfg1en
að	að	c
allir	allur	fokfn
geta	geta	sfg3fn
verið	vera	sþghen
lífsglaðir	lífsglaður	lkfnsf
þó	þó	aa
svo	svo	aa
aðstæður	aðstæður	nvfn
sumra	sumur	fokfe
virðast	virða	sfm3fn
ekki	ekki	aa
benda	benda	sng
til	til	af
þess	það	fphee
.	.	pl

Það	það	fphen
er	vera	sfg3en
í	í	af
raun	raun	nveþ
mjög	mjög	aa
huglægt	huglægur	lhensf
mat	mat	nhen
hvort	hvort	c
maður	maður	nken
sé	vera	svg3en
hamingjusamur	hamingjusamur	lkensf
eða	eða	c
ekki	ekki	aa
,	,	pk
maður	maður	nken
ákveður	ákveða	sfg3en
það	það	fpheo
að	að	af
miklu	mikill	lheþsf
leyti	leyti	nheþ
sjálfur	sjálfur	fbken
.	.	pl

Þegar	þegar	c
maður	maður	nken
áttar	átta	sfg3en
sig	sig	fpkeo
á	á	af
því	það	fpheþ
hvað	hver	fshen
það	það	fphen
er	vera	sfg3en
sem	sem	ct
gerir	gera	sfg3en
mann	maður	nkeo
hamingjusaman	hamingjusamur	lkeosf
þá	þá	aa
er	vera	sfg3en
líka	líka	aa
auðveldara	auðveldur	lhenvm
að	að	cn
nýta	nýta	sng
möguleikana	möguleiki	nkfog
sem	sem	ct
manni	maður	nkeþ
bjóðast	bjóða	sfm3fn
.	.	pl

Staðreyndin	staðreynd	nveng
er	vera	sfg3en
sú	sá	faven
að	að	c
lífsglatt	lífsglaður	lhensf
fólk	fólk	nhen
er	vera	sfg3en
yfirleitt	yfirleitt	aa
hamingjusamt	hamingjusamur	lhensf
og	og	c
nýtir	nýta	sfg3en
þá	sá	fakfo
möguleika	möguleiki	nkfo
sem	sem	ct
það	það	fphen
fær	fá	sfg3en
en	en	c
það	það	fphen
skapar	skapa	sfg3en
sér	sig	fpheþ
líka	líka	aa
möguleikana	möguleiki	nkfog
að	að	af
mörgu	margur	lheþsf
leyti	leyti	nheþ
.	.	pl

Af	af	af
öllum	allur	fohfþ
tækifærunum	tækifæri	nhfþg
sem	sem	ct
okkur	ég	fp1fþ
bjóðast	bjóða	sfm3fn
er	vera	sfg3en
lífið	líf	nheng
sjálft	sjálfur	fbhen
er	vera	sfg3en
það	sá	fahen
stærsta	stór	lhenve
sem	sem	ct
við	ég	fp1fn
fáum	fá	sfg1fn
og	og	c
við	ég	fp1fn
eigum	eiga	sfg1fn
að	að	cn
njóta	njóta	sng
þess	það	fphee
.	.	pl

Eins	eins	aa
og	og	c
sagt	segja	sþghen
er	vera	sfg3en
þá	þá	aa
er	vera	sfg3en
lífið	líf	nheng
leikur	leikur	nken
og	og	c
við	ég	fp1fn
eigum	eiga	sfg1fn
að	að	cn
nýta	nýta	sng
það	það	fpheo
til	til	af
fulls	fullur	lheesf
og	og	c
enginn	enginn	foken
gerir	gera	sfg3en
það	það	fpheo
betur	vel	aam
en	en	c
lífsglaður	lífsglaður	lkensf
maður	maður	nken
.	.	pl

Verslóritgerðir	Verslóritgerð	nvfn-s
2004	2004	ta
,	,	pk
strákar	strákur	nkfn

Tónlist	tónlist	nven
-	-	pa
förunautur	förunautur	nken
í	í	af
dagsins	dagur	nkeeg
önn	önn	nveþ

Góð	góður	lvensf
tónlist	tónlist	nven
er	vera	sfg3en
eyrnakonfekt	eyrnakonfekt	nhen
en	en	c
einnig	einnig	aa
er	vera	sfg3en
til	til	aa
tónlist	tónlist	nven
sem	sem	ct
sumir	sumur	fokfn
myndu	munu	svg3fþ
kalla	kalla	sng
hljóðmengun	hljóðmengun	nveo
.	.	pl

Að	að	cn
hlusta	hlusta	sng
á	á	af
tónlist	tónlist	nveo
er	vera	sfg3en
góð	góður	lvensf
skemmtun	skemmtun	nven
,	,	pk
flestir	margur	lkfnse
hlusta	hlusta	sfg3fn
á	á	af
tónlist	tónlist	nveo
og	og	c
eru	vera	sfg3fn
ekki	ekki	aa
margir	margur	lkfnsf
sem	sem	ct
fyrirlíta	fyrirlíta	sfg3fn
þá	sá	faveo
list	list	nveo
,	,	pk
mætti	mega	svg3eþ
jafnvel	jafnvel	aa
segja	segja	sng
að	að	c
tónlist	tónlist	nven
sé	vera	svg3en
ómissandi	ómissandi	lkenof
hlutur	hlutur	nken
í	í	af
daglegu	daglegur	lheþsf
lífi	líf	nheþ
.	.	pl

Eins	eins	aa
lengi	lengi	aa
og	og	c
elstu	gamall	lkfnve
menn	maður	nkfn
muna	muna	sfg3fn
og	og	c
langt	langt	aa
fyrir	fyrir	af
þeirra	hann	fpkfe
tíma	tími	nkeo
hefur	hafa	sfg3en
tónlist	tónlist	nven
spilað	spila	sþghen
stórt	stór	lheosf
hlutverk	hlutverk	nheo
í	í	af
samfélaginu	samfélag	nheþg
.	.	pl

Tónsmiðir	tónsmiður	nkfn
á	á	af
borð	borð	nheo
við	við	af
Chopin	Chopin	n----s
og	og	c
Mozart	Mozart	n----s
lifðu	lifa	sfg3fþ
fyrir	fyrir	af
tónlistina	tónlist	nveog
og	og	c
enn	enn	aa
í	í	af
dag	dagur	nkeo
eru	vera	sfg3fn
verk	verk	nhfn
þeirra	hann	fpkfe
flutt	flytja	sþghfn
af	af	af
sinfóníuhljómsveitum	sinfóníuhljómsveit	nvfþ
um	um	af
allan	allur	fokeo
heim	heimur	nkeo
.	.	pl

Ekki	ekki	aa
verður	verða	sfg3en
hjá	hjá	af
því	það	fpheþ
komist	koma	sþmhen
að	að	cn
segja	segja	sng
að	að	c
tónlist	tónlist	nven
fylgi	fylgja	svg3en
flestum	margur	lkfþse
á	á	af
hverjum	hver	fokeþ
degi	dagur	nkeþ
þar	þar	aa
sem	sem	c
tónlist	tónlist	nven
hljómar	hljóma	sfg3en
út	út	aa
um	um	af
allt	allur	foheo
,	,	pk
alls	allur	fokee
staðar	staður	nkee
,	,	pk
út	út	aa
um	um	af
allan	allur	fokeo
heim	heimur	nkeo
.	.	pl

Ég	ég	fp1en
ætla	ætla	sfg1en
aðeins	aðeins	aa
að	að	cn
fjalla	fjalla	sng
um	um	af
tónlist	tónlist	nveo
,	,	pk
hvernig	hvernig	aa
hún	hún	fpven
hefur	hafa	sfg3en
fylgt	fylgja	sþghen
okkur	ég	fp1fþ
um	um	af
árin	ár	nhfog
,	,	pk
tónlistarstefnur	tónlistarstefna	nvfo
og	og	c
nokkra	nokkur	fokfo
tónlistamenn	tónlistarmaður	nkfo
.	.	pl

Tónlist	tónlist	nven
í	í	af
aldanna	öld	nvfeg
rás	rás	nveþ

Tónlist	tónlist	nven
hefur	hafa	sfg3en
þróast	þróa	sþmhen
í	í	aa
gegnum	gegnum	af
árin	ár	nhfog
,	,	pk
líkt	líkt	aa
og	og	c
smekkur	smekkur	nken
fólks	fólk	nhee
á	á	af
flest	margur	aae
öllum	allur	fokfþ
hlutum	hlutur	nkfþ
,	,	pk
fyrr	fyrr	aam
á	á	af
öldum	öld	nvfþ
voru	vera	sfg3fþ
töfrar	töfrar	nkfn
tónlistarinnar	tónlist	nveeg
skapaðir	skapa	sþgkfn
af	af	af
mönnum	maður	nkfþ
eins	eins	aa
og	og	c
Mozart	Mozart	n----s
,	,	pk
Beethoven	Beethoven	n----s
,	,	pk
Chopin	Chopin	n----s
og	og	c
Bach	Bach	n----s
þessir	þessi	fakfn
menn	maður	nkfn
ásamt	ásamt	af
mörgum	margur	lkfþsf
fleirum	margur	lkfþsm
sköpuðu	skapa	sfg3fþ
það	sá	faheo
sem	sem	ct
nú	nú	aa
kallast	kalla	sfm3en
klassísk	klassískur	lvensf
tónlist	tónlist	nven
.	.	pl

Í	í	af
þá	sá	fakfo
daga	dagur	nkfo
var	vera	sfg3eþ
tónlist	tónlist	nven
mörgum	margur	lkfþsf
hjartans	hjarta	nheeg
mál	mál	nhen
og	og	c
biðu	bíða	sfg3fþ
menn	maður	nkfn
með	með	af
óþreyju	óþreyja	nveþ
eftir	eftir	af
að	að	c
tónskáldin	tónskáld	nhfng
kláruðu	klára	svg3fþ
meistaraverk	meistaraverk	nhfo
sín	sinn	fehfo
,	,	pk
þetta	þessi	fahen
voru	vera	sfg3fþ
líka	líka	aa
sannkölluð	sannkallaður	lhfnsf
meistaraverk	meistaraverk	nhfn
,	,	pk
heilu	heill	lvfnvf
sinfóníurnar	sinfónía	nvfng
voru	vera	sfg3fþ
samdar	semja	sþgvfn
og	og	c
menn	maður	nkfn
gáfu	gefa	sfg3fþ
sig	sig	fpkfo
alla	allur	fokfo
í	í	af
verkið	verk	nheog
.	.	pl

Að	að	cn
hlusta	hlusta	sng
á	á	af
gamlar	gamall	lvfosf
sinfóníur	sinfónía	nvfo
er	vera	sfg3en
eins	eins	aa
og	og	c
að	að	cn
horfa	horfa	sng
á	á	af
leikrit	leikrit	nheo
,	,	pk
mismunandi	mismunandi	lvfnof
tilfinningar	tilfinning	nvfn
takast	taka	sfm3fn
á	á	aa
og	og	c
sá	sá	faken
sem	sem	ct
hlustar	hlusta	sfg3en
af	af	af
innlifun	innlifun	nveþ
vekur	vekja	sfg3en
með	með	af
sér	sig	fpkeþ
þessar	þessi	favfo
tilfinningar	tilfinning	nvfo
og	og	c
skynjar	skynja	sfg3en
þær	sá	favfo
sem	sem	ct
sínar	sinn	fevfo
eigin	eigin	lvfoof
,	,	pk
að	að	cn
semja	semja	sng
slík	slíkur	fbhfo
verk	verk	nhfo
er	vera	sfg3en
ekki	ekki	aa
á	á	af
hvers	hver	fokee
manns	maður	nkee
færi	færi	nheþ
.	.	pl

Enn	enn	aa
þann	sá	fakeo
dag	dagur	nkeo
í	í	af
dag	dagur	nkeo
eru	vera	sfg3fn
tónverk	tónverk	nhfn
gömlu	gamall	lhfevf
skáldanna	skáld	nhfeg
leikin	leika	sþghfn
af	af	af
sinfóníuhljómsveitum	sinfóníuhljómsveit	nvfþ
um	um	af
allan	allur	fokeo
heim	heimur	nkeo
.	.	pl

Í	í	aa
gegnum	gegnum	af
árin	ár	nhfog
þróaðist	þróa	sfm3eþ
tónlistin	tónlist	nveng
og	og	c
nýjar	nýr	lvfnsf
stefnur	stefna	nvfn
tóku	taka	sfg3fþ
að	að	cn
myndast	mynda	snm
samhliða	samhliða	af
því	það	fpheþ
að	að	c
menn	maður	nkfn
fóru	fara	sfg3fþ
að	að	cn
finna	finna	sng
upp	upp	aa
ný	nýr	lhfosf
hljóðfæri	hljóðfæri	nhfo
og	og	c
nýjar	nýr	lvfosf
leiðir	leið	nvfo
til	til	af
að	að	cn
spila	spila	sng
á	á	af
hin	hinn	ghfo
gömlu	gamall	lhfovf
.	.	pl

Mest	mikill	lvense
hefur	hafa	sfg3en
þróun	þróun	nven
tónlistar	tónlist	nvee
verið	vera	sþghen
á	á	af
tuttugustu	tuttugasti	lveþvf
öld	öld	nveþ
og	og	c
hefur	hafa	sfg3en
hver	hver	foken
áratugurinn	áratugur	nkeng
á	á	af
fætur	fótur	nkfo
öðrum	annar	fokeþ
haft	hafa	sþghen
í	í	af
för	för	nveþ
með	með	af
sér	sig	fpkeþ
róttækar	róttækur	lvfosf
tónlistarstefnur	tónlistarstefna	nvfo
og	og	c
umdeilda	umdeildur	lkfosf
tónlistarmenn	tónlistarmaður	nkfo
.	.	pl

Snemma	snemma	aa
á	á	af
öldinni	öld	nveþg
var	vera	sfg3eþ
fólk	fólk	nhen
að	að	cn
dansa	dansa	sng
Charleston	Charleston	e
í	í	af
villtri	villtur	lveþsf
sveiflu	sveifla	nveþ
og	og	c
«	«	pg
Swing	Swing	e
»	»	pg
tónlistin	tónlist	nveng
var	vera	sfg3eþ
allsráðandi	allsráðandi	lvenof
hjá	hjá	af
ungu	ungur	lheþsf
fólki	fólk	nheþ
.	.	pl

«	«	pg
Swing	Swing	e
»	»	pg
tónlist	tónlist	nven
er	vera	sfg3en
spiluð	spila	sþgven
af	af	af
svokölluðum	svokallaður	lvfþsf
«	«	pg
Big	Big	e
Band	Band	e
»	»	pg
hljómsveitum	hljómsveit	nvfþ
þar	þar	aa
sem	sem	c
lúðrar	lúður	nkfn
og	og	c
trommur	tromma	nvfn
eru	vera	sfg3fn
í	í	af
stórum	stór	lkeþsf
meirihluta	meirihluti	nkeþ
.	.	pl

Þegar	þegar	c
fram	fram	aa
liðu	líða	sfg3fþ
stundir	stund	nvfn
komu	koma	sfg3fþ
fleiri	margur	lvfnvm
og	og	c
fleiri	margur	lvfnvm
stefnur	stefna	nvfn
,	,	pk
mikið	mikill	lhensf
af	af	af
þessu	þessi	faheþ
þróaðist	þróa	sfm3eþ
hjá	hjá	af
blökkumönnum	blökkumaður	nkfþ
í	í	af
Bretlandi	Bretland	nheþ-s
og	og	c
Bandaríkjunum	Bandaríki	nhfþgs
,	,	pk
þar	þar	aa
má	mega	sfg3en
helst	heldur	aae
nefna	nefna	sng
Djass	djass	nkeo
,	,	pk
Blús	blús	nkeo
og	og	c
síðar	síðar	aam
Rokk	rokk	nheo
,	,	pk
þetta	þessi	fahen
er	vera	sfg3en
ekki	ekki	aa
tæmandi	tæmandi	lhenof
þar	þar	aa
sem	sem	c
ótal	ótal	nhen
útgáfur	útgáfa	nvfn
voru	vera	sfg3fþ
og	og	c
eru	vera	sfg3fn
til	til	aa
,	,	pk
t.d.	t.d.	ks
Skiffle	Skiffle	e
.	.	pl

Tónlistarmenn	tónlistarmaður	nkfn
eins	eins	aa
og	og	c
Fats	Fats	n----s
Domino	Domino	n----s
voru	vera	sfg3fþ
í	í	af
miklu	mikill	lheþsf
uppáhaldi	uppáhald	nheþ
hjá	hjá	af
ungu	ungur	lheþsf
fólki	fólk	nheþ
og	og	c
höfðu	hafa	sfg3fþ
mikil	mikill	lhfosf
áhrif	áhrif	nhfo
á	á	af
verðandi	verðandi	lkfoof
tónlistarmenn	tónlistarmaður	nkfo
.	.	pl

Tónlist	tónlist	nven
hefur	hafa	sfg3en
stundum	stundum	aa
leitt	leiða	sþghen
af	af	af
sér	sig	fpveþ
nokkurs	nokkur	fokee
konar	konar	nkee
brjálæði	brjálæði	nheo
þar	þar	aa
sem	sem	c
fólk	fólk	nhen
gjörsamlega	gjörsamlega	aa
missir	missa	sfg3en
alla	allur	foveo
stjórn	stjórn	nveo
á	á	af
sér	sig	fpheþ
,	,	pk
þetta	þessi	fahen
á	eiga	sfg3en
nú	nú	aa
helst	heldur	aae
við	við	aa
í	í	af
sambandi	samband	nheþ
við	við	af
dýrkun	dýrkun	nveo
á	á	af
tónlistarmönnum	tónlistarmaður	nkfþ
,	,	pk
bítlaæðið	bítlaæði	nheng
var	vera	sfg3eþ
gott	góður	lhensf
dæmi	dæmi	nhen
um	um	af
slíkt	slíkur	fbheo
brjálæði	brjálæði	nheo
.	.	pl

Helstu	heldri	lkfnve
tónlistarmenn	tónlistarmaður	nkfn
síðustu	síðari	lveeve
aldar	öld	nvee
voru	vera	sfg3fþ
Elvis	Elvis	nken-s
Presley	Presley	n----s
,	,	pk
Bítlarnir	Bítill	nkfngs
og	og	c
Rolling	Rolling	n----s
Stones	Stones	e
.	.	pl

Elvis	Elvis	nken-s
var	vera	sfg3eþ
konungurinn	konungur	nkeng
,	,	pk
í	í	af
upphafi	upphaf	nheþ
hneykslaðist	hneyksla	sfm3eþ
fólk	fólk	nhen
á	á	af
villtum	villtur	lvfþsf
mjaðmahreyfingum	mjaðmahreyfing	nvfþ
hans	hann	fpkee
en	en	c
fljótt	fljótt	aa
tók	taka	sfg3eþ
við	við	aa
hin	hinn	gven
magnaða	magnaður	lvenvf
aðdáun	aðdáun	nven
sem	sem	ct
á	eiga	sfg3en
sér	sig	fpveþ
enn	enn	aa
stað	staður	nkeo
í	í	af
dag	dagur	nkeo
.	.	pl

Elvis	Elvis	nken-s
dó	deyja	sfg3eþ
árið	ár	nheog
1977	1977	ta
en	en	c
margir	margur	lkfnsf
neita	neita	sfg3fn
að	að	cn
trúa	trúa	sng
því	það	fpheþ
og	og	c
telja	telja	sfg3fn
margir	margur	lkfnsf
sig	sig	fpkfo
hafa	hafa	sng
séð	sjá	sþghen
hann	hann	fpkeo
á	á	af
labbi	labb	nheþ
.	.	pl

Bítlarnir	bítill	nkfng
,	,	pk
þeir	hann	fpkfn
John	John	n----s
,	,	pk
Paul	Paul	n----s
,	,	pk
George	George	n----s
og	og	c
Ringo	Ringo	n----s
byrjuðu	byrja	sfg3fþ
ungir	ungur	lkfnsf
að	að	cn
spila	spila	sng
saman	saman	aa
og	og	c
saman	saman	aa
þroskuðust	þroska	sfm3fþ
þeir	hann	fpkfn
og	og	c
urðu	verða	sfg3fþ
lifandi	lifandi	lvfnof
goðsagnir	goðsögn	nvfn
.	.	pl

Önnur	annar	foven
eins	eins	lvenof
framleiðni	framleiðni	nven
á	á	af
tónlist	tónlist	nveþ
hefur	hafa	sfg3en
vart	vart	aa
sést	sjá	sþmhen
,	,	pk
Paul	Paul	n----s
McCartney	McCartney	n----s
og	og	c
John	John	n----s
Lennon	Lennon	n----s
aðal	aðal	lkfnof
tónsmiðirnir	tónsmiður	nkfng
voru	vera	sfg3fþ
hreint	hreint	aa
út	út	aa
sagt	segja	sþghen
ótrúlega	ótrúlega	aa
færir	fær	lkfnsf
að	að	cn
semja	semja	sng
góða	góður	lveosf
tónlist	tónlist	nveo
,	,	pk
hver	hver	foken
«	«	pg
hittarinn	hittari	nkeng
»	»	pg
á	á	af
fætur	fótur	nkfo
öðrum	annar	fokeþ
sem	sem	ct
náði	ná	sfg3eþ
á	á	af
efstu	efri	lhfove
sæti	sæti	nhfo
flestra	margur	lkfese
vinsældarlista	vinsældarlisti	nkfe
.	.	pl

Rolling	Rolling	n----s
Stones	Stones	e
er	vera	sfg3en
ennþá	ennþá	aa
að	að	cn
spila	spila	sng
og	og	c
vart	vart	aa
sést	sjá	sfm3en
fyrir	fyrir	af
endan	endi	x
á	á	af
þeirra	hann	fpkfe
sigurgöngu	sigurganga	nveþ
um	um	af
heiminn	heimur	nkeog
,	,	pk
þeir	hann	fpkfn
eru	vera	sfg3fn
orðnir	verða	sþgkfn
gamlir	gamall	lkfnsf
kallar	kalli	nkfn
en	en	c
eru	vera	sfg3fn
þvílík	þvílíkur	fbhfn
kyntröll	kyntröll	nhfn
að	að	c
ungir	ungur	lkfnsf
menn	maður	nkfn
mega	mega	sfg3fn
skammast	skamma	snm
sín	sig	fpkfe
.	.	pl

Í	í	af
dag	dagur	nkeo
eru	vera	sfg3fn
fyrirmyndir	fyrirmynd	nvfn
ungra	ungur	lkfesf
drengja	drengur	nkfe
og	og	c
stúlkna	stúlka	nvfe
oft	oft	aa
tónlistarmenn	tónlistarmaður	nkfn
á	á	af
borð	borð	nheo
við	við	af
Britney	Britney	n----s
Spears	Spears	n----s
,	,	pk
Enrique	Enrique	n----s
Iglesias	Iglesias	n----s
,	,	pk
Sugababes	Sugababes	n----s
og	og	c
svo	svo	aa
mætti	mega	svg3eþ
lengi	lengi	aa
telja	telja	sng
.	.	pl

Flestir	margur	lkfnse
þessir	þessi	fakfn
tónlistarmenn	tónlistarmaður	nkfn
eiga	eiga	sfg3fn
það	það	fpheo
sameiginlegt	sameiginlegur	lheosf
að	að	cn
semja	semja	sng
ekki	ekki	aa
sína	sinn	feveo
tónlist	tónlist	nveo
sjálfir	sjálfur	fbkfn
heldur	heldur	c
fá	fá	sng
tilbúin	tilbúinn	lhfosf
lög	lag	nhfo
upp	upp	aa
í	í	af
hendurnar	hönd	nvfog
sem	sem	ct
eru	vera	sfg3fn
samin	semja	sþghfn
eftir	eftir	af
vinsældarformúlum	vinsældarformúla	nvfþ
,	,	pk
hér	hér	aa
er	vera	sfg3en
það	það	fphen
yfirleitt	yfirleitt	aa
ýmind	ýmind	x
flytjandans	flytjandi	nkeeg
sem	sem	ct
höfðar	höfða	sfg3en
til	til	af
hlustandans	hlustandi	nkeeg
.	.	pl

Svo	svo	aa
er	vera	sfg3en
það	það	fphen
bara	bara	aa
spurning	spurning	nven
hvað	hver	fsheo
framtíðin	framtíð	nveng
ber	bera	sfg3en
í	í	af
skauti	skaut	nheþ
sér	sig	fpveþ
.	.	pl

Tónlist	tónlist	nven
fyrir	fyrir	af
fólkið	fólk	nheog

Í	í	af
upphafi	upphaf	nheþ
fór	fara	sfg3eþ
fólk	fólk	nhen
á	á	af
tónleika	tónleikar	nkfo
til	til	af
þess	það	fphee
að	að	cn
hlusta	hlusta	sng
á	á	af
tónlist	tónlist	nveo
,	,	pk
ekki	ekki	aa
var	vera	sfg3eþ
neinn	neinn	foken
annar	annar	foken
valkostur	valkostur	nken
fyrir	fyrir	af
hendi	hönd	nveþ
nema	nema	c
þá	þá	aa
að	að	cn
spila	spila	sng
hana	hún	fpveo
sjálfur	sjálfur	fbken
.	.	pl

Fólk	fólk	nhen
ferðaðist	ferðast	sfm3eþ
langar	langur	lvfosf
leiðir	leið	nvfo
til	til	af
þess	það	fphee
eins	einn	lheesf
að	að	cn
fá	fá	sng
að	að	cn
sjá	sjá	sng
og	og	c
heyra	heyra	sng
sína	sinn	fekfo
uppáhalds	uppáhald	nhee
tónlistarmenn	tónlistarmaður	nkfo
flytja	flytja	sng
verk	verk	nhfo
sín	sinn	fehfo
.	.	pl

Engin	enginn	foven
leið	leið	nven
var	vera	sfg3eþ
að	að	cn
taka	taka	sng
upp	upp	aa
tónlistina	tónlist	nveog
og	og	c
var	vera	sfg3eþ
hver	hver	foken
flutningur	flutningur	nken
einstakur	einstakur	lkensf
.	.	pl

Eftir	eftir	af
því	sá	faheþ
sem	sem	ct
árin	ár	nhfng
liðu	líða	sfg3fþ
og	og	c
tækninni	tækni	nveþg
fleygð	fleygja	x
fram	fram	aa
kom	koma	sfg3eþ
fram	fram	aa
á	á	af
sjónarsviðið	sjónarsvið	nheog
brautryðjandi	brautryðjandi	lvenof
uppfinning	uppfinning	nven
.	.	pl

Þetta	þessi	fahen
var	vera	sfg3eþ
apparat	apparat	nhen
sem	sem	ct
skynjaði	skynja	sfg3eþ
titring	titringur	nkeo
frá	frá	af
hljóði	hljóð	nheþ
og	og	c
risti	rista	sfg3eþ
með	með	af
nál	nál	nveþ
í	í	af
kefli	kefli	nheo
sem	sem	ct
snerist	snúa	sfm3eþ
,	,	pk
þegar	þegar	c
nálinni	nál	nveþg
var	vera	sfg3eþ
dregið	draga	sþghen
aftur	aftur	aa
yfir	yfir	aa
og	og	c
keflinu	kefli	nheþg
snúið	snúa	sþghen
þá	þá	aa
heyrðist	heyra	sfm3eþ
hljóðið	hljóð	nheng
sem	sem	ct
ristað	rista	sþghen
hafði	hafa	sfg3eþ
verið	vera	sþghen
í	í	af
keflið	kefli	nheog
.	.	pl

Þessi	þessi	faven
